fecha,ultimo,apertura,maximo,minimo,vol,variacion
2020-06-30,"10,320","10,220","10,455","10,200","26,39M","1,38%"
2020-06-29,"10,180","10,045","10,225","10,030","11,46M","1,39%"
2020-06-26,"10,040","10,130","10,230","10,015","14,92M","-0,69%"
2020-06-25,"10,110","10,000","10,185","9,904","12,88M","1,12%"
2020-06-24,"9,998","10,235","10,250","9,998","8,44M","-2,79%"
2020-06-23,"10,285","10,190","10,315","10,145","13,51M","1,53%"
2020-06-22,"10,130","10,090","10,135","10,005","10,61M","-0,59%"
2020-06-19,"10,190","10,015","10,245","9,982","60,25M","2,29%"
2020-06-18,"9,962","10,015","10,085","9,866","25,08M","-0,53%"
2020-06-17,"10,015","9,962","10,155","9,946","30,91M","0,05%"
2020-06-16,"10,010","9,858","10,090","9,762","32,70M","3,07%"
2020-06-15,"9,712","9,500","9,810","9,402","12,99M","-0,39%"
2020-06-12,"9,750","9,690","9,886","9,614","32,40M","0,70%"
2020-06-11,"9,682","9,910","9,996","9,680","29,64M","-3,04%"
2020-06-10,"9,986","10,235","10,270","9,986","10,16M","-1,62%"
2020-06-09,"10,150","10,065","10,190","9,970","18,13M","0,20%"
2020-06-08,"10,130","9,900","10,160","9,876","16,82M","1,00%"
2020-06-05,"10,030","10,005","10,135","9,930","17,79M","0,72%"
2020-06-04,"9,958","10,025","10,135","9,940","21,74M","-1,55%"
2020-06-03,"10,115","9,976","10,140","9,838","17,01M","1,84%"
2020-06-02,"9,932","9,766","9,932","9,692","16,81M","2,39%"
