fecha,per,bpa,rentabilidad_por_dividendo,precio_div_cash_flow,precio_valor_contable,ebitda,b_neto
2020-04-02,"5,14","0,45","7,67",0,"0,38",0,7.743
2020-04-03,"5,14","0,45","7,87",0,"0,38",0,7.743
2020-04-06,"4,88","0,43","7,39",0,"0,35",0,"7.345,55"
2020-04-07,"4,88","0,43","7,34",0,"0,35",0,"7.345,55"
2020-04-08,"4,88","0,43","7,45",0,"0,35",0,"7.345,55"
2020-04-09,"4,88","0,43","7,62",0,"0,35",0,"7.345,55"
2020-04-09,"6,1","0,36","7,62",0,"0,36",0,"7.034,51"
2020-04-14,"6,1","0,36","7,78",0,"0,36",0,"7.034,51"
2020-04-15,"6,1","0,36","8,25",0,"0,36",0,"7.034,51"
2020-04-16,"6,1","0,36","8,38",0,"0,36",0,"7.034,51"
2020-04-17,"6,1","0,36","8,42",0,"0,36",0,"7.034,51"
2020-04-21,"7,1","0,28","8,82",0,"0,32",0,"5.958,5"
2020-04-22,"7,1","0,28","8,57",0,"0,32",0,"5.958,5"
2020-04-23,"7,1","0,28","8,26",0,"0,32",0,"5.958,5"
2020-04-24,"7,1","0,28","8,67",0,"0,32",0,"5.958,5"
2020-04-27,"7,93","0,24","8,38",0,"0,31",0,"4.572,31"
2020-04-28,"7,93","0,24","7,99",0,"0,31",0,"4.572,31"
2020-04-29,"7,93","0,24","7,62",0,"0,31",0,"4.572,31"
2020-04-30,"7,93","0,24","8,10",0,"0,31",0,"4.572,31"
2020-04-30,"7,93","0,24","4,91",0,"0,31",0,"4.572,31"
